Timestamp;Suspension1;Suspension2;Suspension3;Suspension4;Steering;RPM_FrontRight;RPM_FrontLeft;RPM_RearRight;RPM_RearLeft;SUS1MM;SUS2MM;SUS3MM;SUS4MM;index
05/02/2025 11:37;11809;11542;11668;10419;12789;0;0;0;0;42.81062349;43.6082813;43.23185851;46.96322409;52
05/02/2025 11:37;11811;11545;11668;10422;12786;0;0;0;0;42.80464852;43.59931885;43.23185851;46.95426164;53
05/02/2025 11:37;11811;11542;11668;10419;12788;0;0;0;0;42.80464852;43.6082813;43.23185851;46.96322409;54
05/02/2025 11:37;11810;11542;11669;10419;12788;0;0;0;0;42.80763601;43.6082813;43.22887103;46.96322409;55
05/02/2025 11:37;11812;11539;11667;10418;12788;0;0;0;0;42.80166104;43.61724375;43.234846;46.96621157;56
05/02/2025 11:37;11810;11544;11669;10420;12788;0;0;0;0;42.80763601;43.60230634;43.22887103;46.96023661;57
05/02/2025 11:37;11811;11534;11668;10419;12788;0;0;0;0;42.80464852;43.63218116;43.23185851;46.96322409;58
05/02/2025 11:37;11815;11544;11669;10422;12789;0;0;0;0;42.79269859;43.60230634;43.22887103;46.95426164;59
05/02/2025 11:37;11810;11537;11668;10420;12789;0;0;0;0;42.80763601;43.62321871;43.23185851;46.96023661;60
05/02/2025 11:37;11814;11544;11668;10424;12790;0;0;0;0;42.79568608;43.60230634;43.23185851;46.94828668;61
05/02/2025 11:37;11811;11542;11667;10420;12790;0;0;0;0;42.80464852;43.6082813;43.234846;46.96023661;62
05/02/2025 11:37;11812;11544;11668;10420;12788;0;0;0;0;42.80166104;43.60230634;43.23185851;46.96023661;63
05/02/2025 11:37;11812;11537;11667;10420;12790;0;0;0;0;42.80166104;43.62321871;43.234846;46.96023661;64
05/02/2025 11:37;11815;11543;11668;10421;12789;0;0;0;0;42.79269859;43.60529382;43.23185851;46.95724913;65
05/02/2025 11:37;11812;11538;11665;10420;12791;0;0;0;0;42.80166104;43.62023123;43.24082096;46.96023661;66
05/02/2025 11:37;11808;11542;11668;10420;12789;0;0;0;0;42.81361097;43.6082813;43.23185851;46.96023661;67
05/02/2025 11:37;11810;11540;11667;10419;12790;0;0;0;0;42.80763601;43.61425627;43.234846;46.96322409;68
05/02/2025 11:37;11810;11542;11668;10421;12788;0;0;0;0;42.80763601;43.6082813;43.23185851;46.95724913;69
05/02/2025 11:37;11812;11534;11667;10420;12789;0;0;0;0;42.80166104;43.63218116;43.234846;46.96023661;70
05/02/2025 11:37;11809;11546;11669;10424;12789;0;0;0;0;42.81062349;43.59633137;43.22887103;46.94828668;71
05/02/2025 11:37;11807;11546;11666;10421;12787;0;0;0;0;42.81659845;43.59633137;43.23783348;46.95724913;72
05/02/2025 11:37;11809;11554;11667;10426;12789;0;0;0;0;42.81062349;43.57243151;43.234846;46.94231171;73
05/02/2025 11:37;11808;11544;11666;10422;12789;0;0;0;0;42.81361097;43.60230634;43.23783348;46.95426164;74
05/02/2025 11:37;11811;11551;11667;10426;12787;0;0;0;0;42.80464852;43.58139396;43.234846;46.94231171;75
05/02/2025 11:37;11809;11544;11666;10424;12789;0;0;0;0;42.81062349;43.60230634;43.23783348;46.94828668;76
05/02/2025 11:37;11810;11551;11667;10425;12786;0;0;0;0;42.80763601;43.58139396;43.234846;46.9452992;77
05/02/2025 11:37;11807;11548;11666;10422;12788;0;0;0;0;42.81659845;43.59035641;43.23783348;46.95426164;78
